Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Topological domain	Subcellular location [CC]	yourlist:M201905316746803381A1F0E0DB47453E0216320D1CCA86Y
O75326	SEM7A_HUMAN	reviewed	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	SEMA7A CD108 SEMAL	Homo sapiens (Human)	666		SIGNAL 1 44 {ECO:0000255}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}; Extracellular side {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}. Note=Detected in a punctate pattern on the cell membrane of basal and supra-basal skin keratinocytes.	O75326
Q17RY0	CPEB4_HUMAN	reviewed	Cytoplasmic polyadenylation element-binding protein 4 (CPE-BP4) (CPE-binding protein 4) (hCPEB-4)	CPEB4 KIAA1673	Homo sapiens (Human)	729				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q7TN98}. Cell junction, synapse, postsynaptic cell membrane, postsynaptic density {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, axon {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q7TN98}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q7TN98}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q7TN98}.	Q17RY0-3
Q9Y426	C2CD2_HUMAN	reviewed	C2 domain-containing protein 2 (Transmembrane protein 24-like)	C2CD2 C21orf25 C21orf258 TMEM24L	Homo sapiens (Human)	696	TRANSMEM 13 33 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Q9Y426
P05120	PAI2_HUMAN	reviewed	Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)	SERPINB2 PAI2 PLANH2	Homo sapiens (Human)	415		SIGNAL 1 ? Not cleaved.		SUBCELLULAR LOCATION: Cytoplasm. Secreted, extracellular space.	P05120
P24557	THAS_HUMAN	reviewed	Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1)	TBXAS1 CYP5 CYP5A1	Homo sapiens (Human)	533	TRANSMEM 11 31 Helical. {ECO:0000255}.; TRANSMEM 76 96 Helical. {ECO:0000255}.; TRANSMEM 224 244 Helical. {ECO:0000255}.; TRANSMEM 336 356 Helical. {ECO:0000255}.		TOPO_DOM 1 10 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 32 75 Lumenal. {ECO:0000255}.; TOPO_DOM 97 223 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 245 335 Lumenal. {ECO:0000255}.; TOPO_DOM 357 533 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:8366093}; Multi-pass membrane protein {ECO:0000269|PubMed:8366093}.	P24557
O00194	RB27B_HUMAN	reviewed	Ras-related protein Rab-27B (C25KG)	RAB27B	Homo sapiens (Human)	218				SUBCELLULAR LOCATION: Membrane; Lipid-anchor.	O00194
O94808	GFPT2_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2)	GFPT2	Homo sapiens (Human)	682					O94808
Q9NYT0	PLEK2_HUMAN	reviewed	Pleckstrin-2	PLEK2	Homo sapiens (Human)	353				SUBCELLULAR LOCATION: Cell projection, lamellipodium membrane; Peripheral membrane protein. Cytoplasm, cytoskeleton.	Q9NYT0
P01034	CYTC_HUMAN	reviewed	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	CST3	Homo sapiens (Human)	146		SIGNAL 1 26 {ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:6283552, ECO:0000269|PubMed:6365094, ECO:0000269|PubMed:6662498}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20189825}.	P01034
Q9Y394	DHRS7_HUMAN	reviewed	Dehydrogenase/reductase SDR family member 7 (EC 1.1.-.-) (Retinal short-chain dehydrogenase/reductase 4) (retSDR4) (Short chain dehydrogenase/reductase family 34C member 1)	DHRS7 DHRS7A RETSDR4 SDR34C1 CGI-86 UNQ285/PRO3448	Homo sapiens (Human)	339		SIGNAL 1 28 {ECO:0000255}.			Q9Y394
P13611	CSPG2_HUMAN	reviewed	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M)	VCAN CSPG2	Homo sapiens (Human)	3396		SIGNAL 1 20 {ECO:0000269|PubMed:1429726}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	P13611
Q9HD26	GOPC_HUMAN	reviewed	Golgi-associated PDZ and coiled-coil motif-containing protein (CFTR-associated ligand) (Fused in glioblastoma) (PDZ protein interacting specifically with TC10) (PIST)	GOPC CAL FIG	Homo sapiens (Human)	462				SUBCELLULAR LOCATION: Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein. Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein. Cell junction, synapse {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane, postsynaptic density {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Note=Enriched in synaptosomal and postsynaptic densities (PSD) fractions. Expressed in cell bodies and dendrites of Purkinje cells. Localized at the trans-Golgi network (TGN) of spermatids and the medulla of round spermatides. {ECO:0000250}.	Q9HD26-2
Q96SQ9	CP2S1_HUMAN	reviewed	Cytochrome P450 2S1 (EC 1.14.14.1) (CYPIIS1)	CYP2S1 UNQ891/PRO1906	Homo sapiens (Human)	504				SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}. Microsome membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}.	Q96SQ9
Q658P3	STEA3_HUMAN	reviewed	Metalloreductase STEAP3 (EC 1.16.1.-) (Dudulin-2) (Six-transmembrane epithelial antigen of prostate 3) (Tumor suppressor-activated pathway protein 6) (hTSAP6) (pHyde) (hpHyde)	STEAP3 TSAP6	Homo sapiens (Human)	488	TRANSMEM 208 228 Helical. {ECO:0000255}.; TRANSMEM 259 279 Helical. {ECO:0000255}.; TRANSMEM 305 325 Helical. {ECO:0000255}.; TRANSMEM 359 379 Helical. {ECO:0000255}.; TRANSMEM 391 411 Helical. {ECO:0000255}.; TRANSMEM 434 454 Helical. {ECO:0000255}.		TOPO_DOM 1 207 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 229 258 Vesicular. {ECO:0000255}.; TOPO_DOM 280 304 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 326 358 Vesicular. {ECO:0000255}.; TOPO_DOM 380 390 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 412 433 Vesicular. {ECO:0000255}.; TOPO_DOM 455 488 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Localizes to vesicular-like structures at the plasma membrane and around the nucleus.	Q658P3-3
Q96DC9	OTUB2_HUMAN	reviewed	Ubiquitin thioesterase OTUB2 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB2) (OTU domain-containing ubiquitin aldehyde-binding protein 2) (Otubain-2) (Ubiquitin-specific-processing protease OTUB2)	OTUB2 C14orf137 OTB2 OTU2	Homo sapiens (Human)	234					Q96DC9
Q02388	CO7A1_HUMAN	reviewed	Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen)	COL7A1	Homo sapiens (Human)	2944		SIGNAL 1 16 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	Q02388-2
P20908	CO5A1_HUMAN	reviewed	Collagen alpha-1(V) chain	COL5A1	Homo sapiens (Human)	1838		SIGNAL 1 37 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	P20908-2
P04062	GLCM_HUMAN	reviewed	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.104) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)	GBA GC GLUC	Homo sapiens (Human)	536		SIGNAL 1 39 {ECO:0000269|Ref.12}.		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:17187079, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:18022370}; Peripheral membrane protein {ECO:0000269|PubMed:10781797, ECO:0000269|PubMed:18022370, ECO:0000269|PubMed:1848227}; Lumenal side {ECO:0000269|PubMed:18022370}. Note=Interaction with saposin-C promotes membrane association (PubMed:10781797). Targeting to lysosomes occurs through an alternative MPR-independent mechanism via SCARB2 (PubMed:18022370). {ECO:0000269|PubMed:10781797, ECO:0000269|PubMed:18022370}.	P04062-4
P35354	PGH2_HUMAN	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Homo sapiens (Human)	604		SIGNAL 1 17 {ECO:0000255}.		SUBCELLULAR LOCATION: Microsome membrane; Peripheral membrane protein. Endoplasmic reticulum membrane; Peripheral membrane protein.	P35354
P15514	AREG_HUMAN	reviewed	Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF)	AREG AREGB SDGF	Homo sapiens (Human)	252	TRANSMEM 199 221 Helical. {ECO:0000255}.	SIGNAL 1 19 {ECO:0000255}.		SUBCELLULAR LOCATION: Membrane; Single-pass membrane protein.	P15514
O95084	PRS23_HUMAN	reviewed	Serine protease 23 (EC 3.4.21.-) (Putative secreted protein Zsig13)	PRSS23 ZSIG13 UNQ270/PRO307	Homo sapiens (Human)	383		SIGNAL 1 19 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	O95084
P05997	CO5A2_HUMAN	reviewed	Collagen alpha-2(V) chain	COL5A2	Homo sapiens (Human)	1499		SIGNAL 1 26		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	P05997
C9J3Q3	C9J3Q3_HUMAN	unreviewed	Protein FAM107B (Fragment)	FAM107B	Homo sapiens (Human)	101					C9J3Q3
Q8N6Y2	LRC17_HUMAN	reviewed	Leucine-rich repeat-containing protein 17 (p37NB)	LRRC17 P37NB UNQ3076/PRO9909	Homo sapiens (Human)	441		SIGNAL 1 18 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000250}.	Q8N6Y2
O60687	SRPX2_HUMAN	reviewed	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)	SRPX2 SRPUL	Homo sapiens (Human)	465		SIGNAL 1 23 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted. Cytoplasm. Cell surface. Cell junction, synapse {ECO:0000250}.	O60687
Q99519	NEUR1_HUMAN	reviewed	Sialidase-1 (EC 3.2.1.18) (Acetylneuraminyl hydrolase) (G9 sialidase) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1)	NEU1 NANH	Homo sapiens (Human)	415		SIGNAL 1 47 {ECO:0000269|PubMed:9480870}.		SUBCELLULAR LOCATION: Lysosome membrane; Peripheral membrane protein; Lumenal side. Lysosome lumen. Cell membrane. Cytoplasmic vesicle. Lysosome {ECO:0000269|PubMed:25153125}. Note=Localized not only on the inner side of the lysosomal membrane and in the lysosomal lumen, but also on the plasma membrane and in intracellular vesicles.	Q99519
Q9P287	BCCIP_HUMAN	reviewed	BRCA2 and CDKN1A-interacting protein (P21- and CDK-associated protein 1) (Protein TOK-1)	BCCIP TOK1	Homo sapiens (Human)	314				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10878006, ECO:0000269|PubMed:11313963, ECO:0000269|PubMed:15713648}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:28394342}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:28394342}. Note=Colocalizes with BRCA2 in discrete nuclear foci (PubMed:15713648). In interphase, preferential localizes to the mother centriole (PubMed:28394342). Recruited to the spindle pole matrix and centrosome by microtubules and dynein/dynactin activity (PubMed:28394342). {ECO:0000269|PubMed:15713648, ECO:0000269|PubMed:28394342}.; SUBCELLULAR LOCATION: Isoform 1: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28394342}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:28394342}. Note=Isoform 1/beta tends to be less abundant at, and less strongly associated with, centrosomes than isoform 2/alpha. {ECO:0000269|PubMed:28394342}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28394342}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:28394342}. Note=Isoform 2/alpha tends to be more abundant at, and more strongly associated with, centrosomes than isoform 1/beta. {ECO:0000269|PubMed:28394342}.	Q9P287
Q9NXS2	QPCTL_HUMAN	reviewed	Glutaminyl-peptide cyclotransferase-like protein (EC 2.3.2.5) (Golgi-resident glutaminyl-peptide cyclotransferase) (isoQC) (gQC)	QPCTL	Homo sapiens (Human)	382	TRANSMEM 35 55 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:18486145}; Single-pass type I membrane protein {ECO:0000269|PubMed:18486145}.	Q9NXS2
P28290	ITPI2_HUMAN	reviewed	Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)	ITPRID2 CS1 KIAA1927 KRAP SSFA2	Homo sapiens (Human)	1259				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14673706}. Note=Located near the plasma membrane. Associated with actin filaments. May also exist as a membrane-bound form with extracellular regions.	P28290-2
P37235	HPCL1_HUMAN	reviewed	Hippocalcin-like protein 1 (Calcium-binding protein BDR-1) (HLP2) (Visinin-like protein 3) (VILIP-3)	HPCAL1 BDR1	Homo sapiens (Human)	193				SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.	P37235
Q86YB8	ERO1B_HUMAN	reviewed	ERO1-like protein beta (ERO1-L-beta) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase beta) (Endoplasmic reticulum oxidoreductin-1-like protein B) (Oxidoreductin-1-L-beta)	ERO1B ERO1LB	Homo sapiens (Human)	467		SIGNAL 1 33 {ECO:0000255}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10818100}; Peripheral membrane protein {ECO:0000269|PubMed:10818100}; Lumenal side {ECO:0000269|PubMed:10818100}. Note=The association with ERP44 may be essential for its retention in the endoplasmic reticulum.	Q86YB8
Q00653	NFKB2_HUMAN	reviewed	Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit]	NFKB2 LYT10	Homo sapiens (Human)	900				SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Nuclear, but also found in the cytoplasm in an inactive form complexed to an inhibitor (I-kappa-B).	Q00653
Q16706	MA2A1_HUMAN	reviewed	Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	MAN2A1 MANA2	Homo sapiens (Human)	1144	TRANSMEM 6 26 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.		TOPO_DOM 1 5 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 27 1144 Lumenal. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:P28494}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:P28494}.	Q16706
P55285	CADH6_HUMAN	reviewed	Cadherin-6 (Kidney cadherin) (K-cadherin)	CDH6	Homo sapiens (Human)	790	TRANSMEM 616 636 Helical. {ECO:0000255}.	SIGNAL 1 18 {ECO:0000255}.	TOPO_DOM 54 615 Extracellular. {ECO:0000255}.; TOPO_DOM 637 790 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	P55285
O60563	CCNT1_HUMAN	reviewed	Cyclin-T1 (CycT1) (Cyclin-T)	CCNT1	Homo sapiens (Human)	726				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12944466}.	O60563
P42830	CXCL5_HUMAN	reviewed	C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)]	CXCL5 ENA78 SCYB5	Homo sapiens (Human)	114		SIGNAL 1 36 {ECO:0000269|PubMed:10095777, ECO:0000269|PubMed:12665801}.		SUBCELLULAR LOCATION: Secreted.	P42830
Q6DCA0	AMERL_HUMAN	reviewed	AMMECR1-like protein	AMMECR1L	Homo sapiens (Human)	310					Q6DCA0
P38936	CDN1A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21)	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	Homo sapiens (Human)	164				SUBCELLULAR LOCATION: Cytoplasm. Nucleus.	P38936
Q8IZV5	RDH10_HUMAN	reviewed	Retinol dehydrogenase 10 (EC 1.1.1.300) (Short chain dehydrogenase/reductase family 16C member 4)	RDH10 SDR16C4 UNQ9375/PRO34191	Homo sapiens (Human)	341	TRANSMEM 3 23 Helical; Signal-anchor. {ECO:0000255}.			SUBCELLULAR LOCATION: Microsome membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Q8IZV5
Q99715	COCA1_HUMAN	reviewed	Collagen alpha-1(XII) chain	COL12A1 COL12A1L	Homo sapiens (Human)	3063		SIGNAL 1 23 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	Q99715
Q9H0F7	ARL6_HUMAN	reviewed	ADP-ribosylation factor-like protein 6 (Bardet-Biedl syndrome 3 protein)	ARL6 BBS3	Homo sapiens (Human)	186				SUBCELLULAR LOCATION: Cell projection, cilium membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton, cilium axoneme. Cytoplasm, cytoskeleton, cilium basal body. Note=Appears in a pattern of punctae flanking the microtubule axoneme that likely correspond to small membrane-associated patches. Localizes to the so-called ciliary gate where vesicles carrying ciliary cargo fuse with the membrane.	Q9H0F7
Q9H5V8	CDCP1_HUMAN	reviewed	CUB domain-containing protein 1 (Membrane glycoprotein gp140) (Subtractive immunization M plus HEp3-associated 135 kDa protein) (SIMA135) (Transmembrane and associated with src kinases) (CD antigen CD318)	CDCP1 TRASK UNQ2486/PRO5773	Homo sapiens (Human)	836	TRANSMEM 668 688 Helical. {ECO:0000255}.	SIGNAL 1 29 {ECO:0000269|PubMed:12660814, ECO:0000269|PubMed:16007225}.	TOPO_DOM 30 667 Extracellular. {ECO:0000255}.; TOPO_DOM 689 836 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Isoform 1: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Shedding may also lead to a soluble peptide.; SUBCELLULAR LOCATION: Isoform 3: Secreted.	Q9H5V8
Q9C002	NMES1_HUMAN	reviewed	Normal mucosa of esophagus-specific gene 1 protein (Protein FOAP-11)	NMES1 C15orf48	Homo sapiens (Human)	83				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12209954}.	Q9C002
P25774	CATS_HUMAN	reviewed	Cathepsin S (EC 3.4.22.27)	CTSS	Homo sapiens (Human)	331		SIGNAL 1 16 {ECO:0000255}.		SUBCELLULAR LOCATION: Lysosome.	P25774-2
P10145	IL8_HUMAN	reviewed	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	99		SIGNAL 1 20 {ECO:0000269|PubMed:2145175, ECO:0000269|PubMed:2523801, ECO:0000269|PubMed:2648135}.		SUBCELLULAR LOCATION: Secreted.	P10145
Q03169	TNAP2_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 2 (TNF alpha-induced protein 2) (Primary response gene B94 protein)	TNFAIP2	Homo sapiens (Human)	654					Q03169
P22692	IBP4_HUMAN	reviewed	Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4)	IGFBP4 IBP4	Homo sapiens (Human)	258		SIGNAL 1 21 {ECO:0000269|PubMed:1709161, ECO:0000269|PubMed:1709585, ECO:0000269|PubMed:1726835}.		SUBCELLULAR LOCATION: Secreted.	P22692-2
P05023	AT1A1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)	1023	TRANSMEM 88 108 Helical. {ECO:0000255}.; TRANSMEM 132 152 Helical. {ECO:0000255}.; TRANSMEM 289 308 Helical. {ECO:0000255}.; TRANSMEM 321 338 Helical. {ECO:0000255}.; TRANSMEM 773 792 Helical. {ECO:0000255}.; TRANSMEM 803 823 Helical. {ECO:0000255}.; TRANSMEM 844 866 Helical. {ECO:0000255}.; TRANSMEM 919 938 Helical. {ECO:0000255}.; TRANSMEM 952 970 Helical. {ECO:0000255}.; TRANSMEM 986 1006 Helical. {ECO:0000255}.		TOPO_DOM 6 87 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 109 131 Extracellular. {ECO:0000255}.; TOPO_DOM 153 288 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 309 320 Extracellular. {ECO:0000255}.; TOPO_DOM 339 772 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 793 802 Extracellular. {ECO:0000255}.; TOPO_DOM 824 843 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 867 918 Extracellular. {ECO:0000255}.; TOPO_DOM 939 951 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 971 985 Extracellular. {ECO:0000255}.; TOPO_DOM 1007 1023 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000269|PubMed:7711835}; Multi-pass membrane protein {ECO:0000255}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.	P05023
O14684	PTGES_HUMAN	reviewed	Prostaglandin E synthase (EC 5.3.99.3) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)	PTGES MGST1L1 MPGES1 PGES PIG12	Homo sapiens (Human)	152	TRANSMEM 13 41 Helical.; TRANSMEM 61 90 Helical.; TRANSMEM 96 119 Helical.; TRANSMEM 124 152 Helical.		TOPO_DOM 1 12 Lumenal.; TOPO_DOM 42 60 Cytoplasmic.; TOPO_DOM 91 95 Lumenal.; TOPO_DOM 120 123 Cytoplasmic.	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:18682561}; Multi-pass membrane protein {ECO:0000269|PubMed:18682561}.	O14684
